,SizeRank,RegionName,State,City,Metro,CountyName,AveragePrice,Down_payment_20%
117,117,28269,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,350374.25590401207,70074.85118080242
127,126,27587,NC,Wake Forest,"Raleigh-Cary, NC",Wake County,496141.9349660719,99228.38699321439
128,128,27610,NC,Raleigh,"Raleigh-Cary, NC",Wake County,307512.304662574,61502.460932514805
147,147,28277,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,559886.7412308551,111977.34824617102
173,173,28027,NC,Concord,"Charlotte-Concord-Gastonia, NC-SC",Cabarrus County,385973.2662253198,77194.65324506396
316,316,27406,NC,Greensboro,"Greensboro-High Point, NC",Guilford County,192778.4337405525,38555.6867481105
330,330,28078,NC,Huntersville,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,491038.0372749223,98207.60745498446
385,385,28215,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,324048.3819481088,64809.67638962176
425,425,28227,NC,Mint Hill,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,356108.46080599405,71221.69216119881
434,434,28173,NC,Waxhaw,"Charlotte-Concord-Gastonia, NC-SC",Union County,600542.088967958,120108.41779359161
487,488,27703,NC,Durham,"Durham-Chapel Hill, NC",Durham County,372015.6383562426,74403.12767124853
502,503,28314,NC,Fayetteville,"Fayetteville, NC",Cumberland County,196014.0632149748,39202.81264299496
525,526,27284,NC,Kernersville,"Winston-Salem, NC",Forsyth County,286386.07686606137,57277.215373212275
526,527,28655,NC,Morganton,"Hickory-Lenoir-Morganton, NC",Burke County,216775.1940981719,43355.038819634385
531,532,27713,NC,Durham,"Durham-Chapel Hill, NC",Durham County,407536.6838991728,81507.33677983457
549,550,27603,NC,Raleigh,"Raleigh-Cary, NC",Wake County,386882.9202453208,77376.58404906417
563,564,27529,NC,Garner,"Raleigh-Cary, NC",Wake County,363859.3030044872,72771.86060089745
585,586,28025,NC,Concord,"Charlotte-Concord-Gastonia, NC-SC",Cabarrus County,323399.7685783392,64679.95371566784
612,613,27858,NC,Greenville,"Greenville, NC",Pitt County,265730.1166873138,53146.02333746277
639,640,27834,NC,Greenville,"Greenville, NC",Pitt County,196108.8660667149,39221.77321334298
664,665,28540,NC,Jacksonville,"Jacksonville, NC",Onslow County,219296.0504576653,43859.21009153306
693,694,28110,NC,Monroe,"Charlotte-Concord-Gastonia, NC-SC",Union County,338095.1044581833,67619.02089163665
710,711,27410,NC,Greensboro,"Greensboro-High Point, NC",Guilford County,331974.4024377004,66394.88048754008
717,718,27519,NC,Cary,"Raleigh-Cary, NC",Wake County,651007.80714311,130201.561428622
734,735,27616,NC,Raleigh,"Raleigh-Cary, NC",Wake County,355218.29394102027,71043.65878820406
896,897,27407,NC,Greensboro,"Greensboro-High Point, NC",Guilford County,215612.09135023167,43122.418270046335
899,900,28601,NC,Hickory,"Hickory-Lenoir-Morganton, NC",Catawba County,273581.9848593614,54716.39697187228
914,915,27526,NC,Fuquay Varina,"Raleigh-Cary, NC",Wake County,421110.2077482422,84222.04154964845
937,938,27106,NC,Winston-Salem,"Winston-Salem, NC",Forsyth County,288875.33202098263,57775.06640419653
944,945,27107,NC,Winston-Salem,"Winston-Salem, NC",Forsyth County,205595.33801458776,41119.06760291755
956,957,27265,NC,High Point,"Greensboro-High Point, NC",Guilford County,269715.43825041334,53943.08765008267
965,966,27707,NC,Durham,"Durham-Chapel Hill, NC",Durham County,385659.43148498767,77131.88629699753
971,972,27606,NC,Raleigh,"Raleigh-Cary, NC",Wake County,417932.42137384834,83586.48427476967
1043,1044,28546,NC,Jacksonville,"Jacksonville, NC",Onslow County,228131.1587091332,45626.23174182664
1047,1048,27604,NC,Raleigh,"Raleigh-Cary, NC",Wake County,335335.74785770784,67067.14957154157
1079,1080,27405,NC,Greensboro,"Greensboro-High Point, NC",Guilford County,180286.0635644955,36057.212712899105
1088,1089,27513,NC,Cary,"Raleigh-Cary, NC",Wake County,519579.4672731525,103915.89345463051
1095,1096,28212,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,305916.9234227299,61183.38468454598
1116,1117,28105,NC,Matthews,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,434143.57093834254,86828.71418766852
1134,1135,28216,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,310942.2122960569,62188.44245921139
1142,1143,28205,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,422651.37590680976,84530.27518136195
1146,1147,28645,NC,Lenoir,"Hickory-Lenoir-Morganton, NC",Caldwell County,179431.89277352442,35886.37855470488
1152,1153,28210,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,521888.5765097796,104377.71530195593
1221,1222,28213,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,323925.8281607943,64785.16563215886
1289,1290,27360,NC,Thomasville,"Winston-Salem, NC",Davidson County,193150.9213777146,38630.184275542924
1295,1296,27705,NC,Durham,"Durham-Chapel Hill, NC",Durham County,430756.1928841625,86151.2385768325
1315,1316,28376,NC,Raeford,"Fayetteville, NC",Hoke County,237173.03332544104,47434.60666508821
1422,1423,28306,NC,Fayetteville,"Fayetteville, NC",Cumberland County,216026.7758085825,43205.3551617165
1441,1442,27215,NC,Burlington,"Burlington, NC",Alamance County,270232.70991874643,54046.54198374929
1452,1453,28214,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,316264.90491525305,63252.98098305061
1498,1499,27516,NC,Chapel Hill,"Durham-Chapel Hill, NC",Orange County,553223.7389889852,110644.74779779704
1589,1590,27615,NC,Raleigh,"Raleigh-Cary, NC",Wake County,490206.2909998106,98041.25819996213
1614,1615,28262,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,343863.9745227618,68772.79490455237
1634,1635,28273,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,356752.54353529494,71350.508707059
1656,1657,27704,NC,Durham,"Durham-Chapel Hill, NC",Durham County,294535.022082733,58907.0044165466
1662,1663,28117,NC,Mooresville,"Charlotte-Concord-Gastonia, NC-SC",Iredell County,602052.2930411495,120410.4586082299
1675,1676,28403,NC,Wilmington,"Wilmington, NC",New Hanover County,360692.0447989649,72138.40895979299
1690,1691,28208,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,259829.4155308372,51965.88310616744
1720,1721,27613,NC,Raleigh,"Raleigh-Cary, NC",Wake County,526274.5716565362,105254.91433130724
1730,1731,28806,NC,Asheville,"Asheville, NC",Buncombe County,383596.2255580781,76719.24511161562
1750,1751,28412,NC,Wilmington,"Wilmington, NC",New Hanover County,375287.3751844672,75057.47503689343
1757,1758,28079,NC,Lake Park,"Charlotte-Concord-Gastonia, NC-SC",Union County,410137.3187617711,82027.46375235422
1758,1759,28092,NC,Lincolnton,"Charlotte-Concord-Gastonia, NC-SC",Lincoln County,263032.43228431133,52606.48645686227
1787,1788,27127,NC,Winston-Salem,"Winston-Salem, NC",Forsyth County,227997.15091899573,45599.43018379915
1796,1797,27520,NC,Clayton,"Raleigh-Cary, NC",Johnston County,323855.4355356083,64771.08710712167
1815,1816,27295,NC,Lexington,"Winston-Salem, NC",Davidson County,232543.16409441296,46508.632818882594
1820,1821,27105,NC,Winston-Salem,"Winston-Salem, NC",Forsyth County,126419.2128968502,25283.84257937004
1841,1842,27909,NC,Elizabeth City,"Elizabeth City, NC",Pasquotank County,212565.36798363688,42513.07359672738
1864,1865,27292,NC,Lexington,"Winston-Salem, NC",Davidson County,199469.48594832807,39893.897189665615
1889,1890,28625,NC,Statesville,"Charlotte-Concord-Gastonia, NC-SC",Iredell County,271130.7387473076,54226.147749461525
1893,1894,27502,NC,Apex,"Raleigh-Cary, NC",Wake County,524675.3728804435,104935.0745760887
1898,1899,27330,NC,Sanford,"Sanford, NC",Lee County,252648.14393398457,50529.628786796915
1932,1933,28226,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,582919.2029092874,116583.84058185748
1959,1960,27893,NC,Wilson,"Wilson, NC",Wilson County,142282.8721327559,28456.574426551182
2019,2020,28411,NC,Wilmington,"Wilmington, NC",New Hanover County,414939.5352630224,82987.90705260448
2081,2082,28115,NC,Mooresville,"Charlotte-Concord-Gastonia, NC-SC",Iredell County,377873.5858808413,75574.71717616827
2110,2111,28358,NC,Lumberton,"Lumberton, NC",Robeson County,124886.64035958536,24977.328071917073
2115,2116,27320,NC,Reidsville,"Greensboro-High Point, NC",Rockingham County,128703.04065238852,25740.608130477704
2190,2191,28304,NC,Fayetteville,"Fayetteville, NC",Cumberland County,170034.91693971213,34006.983387942426
2247,2248,27612,NC,Raleigh,"Raleigh-Cary, NC",Wake County,515923.4253990282,103184.68507980564
2271,2272,27217,NC,,"Burlington, NC",Alamance County,185681.08411290252,37136.21682258051
2338,2339,28054,NC,Gastonia,"Charlotte-Concord-Gastonia, NC-SC",Gaston County,258976.363877872,51795.272775574405
2421,2422,27530,NC,Goldsboro,"Goldsboro, NC",Wayne County,143492.453095927,28698.4906191854
2432,2433,28562,NC,Trent Woods,"New Bern, NC",Craven County,273405.98534125835,54681.19706825167
2446,2447,28056,NC,Gastonia,"Charlotte-Concord-Gastonia, NC-SC",Gaston County,333300.8880656615,66660.1776131323
2452,2453,28311,NC,Fayetteville,"Fayetteville, NC",Cumberland County,204680.81126221095,40936.16225244219
2461,2462,27030,NC,Mount Airy,"Mount Airy, NC",Surry County,166855.2735775184,33371.054715503684
2465,2466,28409,NC,Wilmington,"Wilmington, NC",New Hanover County,446763.4558844906,89352.69117689814
2558,2559,27205,NC,Asheboro,"Greensboro-High Point, NC",Randolph County,216820.6025005713,43364.12050011426
2570,2571,28792,NC,Hendersonville,"Asheville, NC",Henderson County,332983.24062595965,66596.64812519193
2624,2624,28270,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,573368.4274201249,114673.68548402499
2650,2651,28052,NC,Gastonia,"Charlotte-Concord-Gastonia, NC-SC",Gaston County,190712.2394350702,38142.44788701404
2713,2714,27514,NC,Chapel Hill,"Durham-Chapel Hill, NC",Orange County,697897.0752913409,139579.4150582682
